tumor	full	mesh	mesh_term	summary
LAML	Acute Myeloid Leukemia	68015470	Leukemia Myeloid Acute	"Acute myeloid leukemia (AML) is a heterogeneous hematologic malignancy characterized by the clonal expansion of myeloid blasts in the peripheral blood, bone marrow, and/or other tissues. It is the most common form of acute leukemia among adults and accounts for the largest number of annual deaths from leukemias in the United States.An estimated 21,380 people will be diagnosed with AML in 2017, and 10,590 patients will die of the disease. The median age of diagnosis is 67 years, with 54% of patients diagnosed at 65 years or older (and approximately a third diagnosed at e75 years of age). Thus, as the population ages, the incidence of AML, along with myelodysplastic syndromes (MDS), seems to be rising. Environmental factors that have long been established to increase the risks of MDS and AML include prolonged exposure to petrochemicals; solvents such as benzene; pesticides; and ionizing radiation. Equally disturbing is the increasing incidence of treatment-related MDS and AML in survivors of childhood and young adulthood cancers. The exact incidence of therapy-related MDS/AML (secondary MDS/AML) is unknown and varies depending on the types of treatment modalities used for a given primary tumor. Reports suggest that therapy-related MDS/AML may account for 5% to 20% of patients with MDS/AML.Therapy-related MDS/AML is a well-recognized consequence of cancer treatment in a proportion of patients receiving cytotoxic therapy for solid tumors or hematologic malignancies. The rate of therapy-related MDS/AML is higher among patients with certain primary tumors, including breast cancer, gynecologic cancers, and lymphomas (both non-Hodgkins lymphoma and Hodgkin lymphoma), largely owing to the more leukemogenic cytotoxic agents that are commonly used in the treatment of these tumors. The 2 well-documented categories of cytotoxic agents associated with the development of therapy-related MDS/AML are alkylating agents (eg, cyclophosphamide, melphalan) and topoisomerase inhibitors (eg, etoposide, doxorubicin, mitoxantrone). Treatment with antimetabolites, such as the purine analog fludarabine, has also been associated with therapy-related MDS/AML in patients with lymphoproliferative disorders, particularly when administered in combination with alkylating agents. Radiotherapy, especially in the context of myeloablative therapy (eg, total-body irradiation or radioimmunotherapy) given before autologous hematopoietic cell transplantation (HCT) may also increase the risk for therapy-related MDS/AML. The disease course of therapy-related MDS/AML is generally progressive and may be more resistant to conventional cytotoxic therapies than de novo cases of MDS/AML. Importantly, clinical outcomes in patients with therapy-related AML have been shown to be significantly inferior (both in terms of relapse-free survival [RFS] and overall survival [OS]) compared with patients with de novo cases, except those with the therapy-related acute promyelocytic leukemia (APL) subtype or the favorable-risk core binding factor (CBF) translocations. The proportion of patients with unfavorable cytogenetics tends to be higher in the population with therapy-related AML. Even among the subgroup with favorable karyotypes, those with therapy-related AML tend to do less well. "
LGG	Lower Grade Glioma	68005910	Glioma	"Benign and malignant central nervous system neoplasms derived from glial cells (i.e., astrocytes, oligodendrocytes, and ependymocytes). Astrocytes may give rise to astrocytomas (ASTROCYTOMA) or glioblastoma multiforme (see GLIOBLASTOMA). Oligodendrocytes give rise to oligodendrogliomas (OLIGODENDROGLIOMA) and ependymocytes may undergo transformation to become EPENDYMOMA; CHOROID PLEXUS NEOPLASMS; or colloid cysts of the third ventricle."
LIHC	Liver Cancer	68008113	Liver Neoplasms	"An estimated 42,220 new cases of liver cancer (including intrahepatic bile duct cancers) will be diagnosed in the US during 2018, approximately three-fourths of which will be hepatocellular carcinoma (HCC). Liver cancer is about 3 times more common in men than in women. Liver cancer incidence has more than tripled since 1980; from 2005 to 2014, the rate increased by about 3% per year. An estimated 30,200 liver cancer deaths will
occur in 2018. The death rate for liver cancer has more than doubled, from 2.8 (per 100,000) in 1980 to 6.6 in 2015, with an increase of 2.5% per year from 2006 to 2015.

The most important risk factors for liver cancer in the US are chronic infection with hepatitis B virus (HBV) and/or hepatitis C virus (HCV), heavy alcohol consumption, obesity, diabetes, and tobacco smoking

Early-stage liver cancer can sometimes betreated successfully with surgery to remove part of the liver (few patients have sufficient healthy liver tissue for this option) or liver transplantation. Other treatment options include tumor ablation (destruction) or embolization (blocking blood flow). Fewer treatment options exist for patients diagnosed at an advanced stage. Targeted therapies and chemotherapy may be options.

The 5-year relative survival rate for patients with liver cancer is 18%. Forty-three percent of patients are diagnosed with a localized stage of disease, for which 5-year survival is 31%."
LUAD	Lung Adenocarcinoma	68008175;67538231	Lung Neoplasms;Adenocarcinoma of lung [Supplementary Concept]	"Adenocarcinoma is the most common type of lung cancer in contemporary series, accounting for approximately one-half of lung cancer cases. The increased incidence of adenocarcinoma is thought to be due to the introduction of low-tar filter cigarettes in the 1960s, although such causality is unproven. The World Health Organization (WHO) classification emphasizes that tissue specimens should be managed not only for pathologic diagnosis, but also to preserve tissue for molecular studies, which may have important treatment implications such as use of targeted therapies for certain subsets of patients. Patients with advanced lung adenocarcinoma and other non-small carcinomas not otherwise specified should have their tumors tested for the presence of a driver mutation (eg, mutated epidermal growth factor receptor, ALK translocation, and increasingly, other mutations)."
LUSC	Lung Squamous Cell Carcinoma	68008175	Lung Neoplasms	"Squamous cell carcinoma was the most frequent histologic type of lung tumor in nearly all studies done prior to the mid-1980s. Now, adenocarcinoma is more common than squamous cell carcinoma, particularly in women.

Most squamous cell carcinomas (60 to 80 percent) arise in the proximal portions of the tracheobronchial tree through a squamous metaplasia-dysplasia-carcinoma in situ sequence (squamous carcinoma in situ), although they are increasingly presenting as peripheral lesions. Central and peripheral squamous cell carcinomas may show extensive central necrosis with resulting cavitatio. A small subset of central, well differentiated squamous cell carcinomas occur as exophytic, endobronchial, papillary lesion. Patients with this unusual variant of squamous cell carcinoma typically present with persistent cough, recurrent hemoptysis, or relapsing pulmonary infections due to airway obstruction. Most patients with exophytic endobronchial squamous cell carcinoma have low-stage disease at diagnosis, with a correspondingly good prognosis; five-year survival rates are greater than 60 percent.
"
OV	Ovarian Cancer	68010051	Ovarian Neoplasms	"Epithelial ovarian cancer is the leading cause of death from gynecologic cancer in the United States and is the countrys fifth most common cause of cancer mortality in women. In 2018, it is estimated that 22,240 new diagnoses and 14,070 deaths from this neoplasm will occur in the United States; less than 40% of women with ovarian cancer are cured. Five-year survival is about 46.5%, although survival is longer for select patients with some of the LCOH. The incidence of ovarian cancer increases with age and is most prevalent in the sixth and seventh decades of life. The median age at the time of diagnosis is 63 years, and more than 70% of patients present with advanced disease.Epidemiologic studies have identified risk factors in the etiology of ovarian cancer. A 30% to 60% decreased risk for cancer is associated with younger age at first pregnancy and first birth (d 25 years), the use of oral contraceptives, and/or breastfeeding. Conversely, nulliparity or older age (>35 years) at first pregnancy and first birth confers an increased risk for ovarian cancer. Data suggest that postmenopausal hormone therapy and pelvic inflammatory disease may increase the risk for ovarian cancer. The risk for borderline epithelial tumors (also known as low malignant potential tumors) may be increased after ovarian stimulation for in vitro fertilization. Smoking is associated with an increased risk for mucinous carcinomas but a decreased risk for clear cell carcinomas. Obesity does not appear to be associated with the most aggressive types of ovarian cancer. Environmental factors have been investigated, but so far they have not been conclusively associated with the development of this neoplasm. Family history (primarily patients having 2 or more first-degree relatives with ovarian cancer)including linkage with BRCA1 and BRCA2 genotypes (hereditary breast and ovarian cancer [HBOC] syndrome) or families affected by Lynch syndrome (hereditary nonpolyposis colorectal cancer [HNPCC] syndrome)is associated with early-onset disease. These patients account for only 15% of all women who have ovarian cancer. In women at high risk (with either BRCA1 or BRCA2 mutations), risk-reducing bilateral salpingo-oophorectomy (BSO) is associated with a reduced risk for breast, ovarian, Fallopian tube, and primary peritoneal cancers. There is a residual risk for primary peritoneal cancer after risk-reducing BSO in these women at high risk for cancer. Occult ovarian cancer is sometimes found after RRSO, thus emphasizing the need for careful pathologic review of the ovaries and tubes. The risks of surgery include injury to the bowel, bladder, ureter, and vessels.It is now generally accepted that the Fallopian tube is the origin of many serous ovarian and primary peritoneal cancers, including serous intraepithelial carcinoma of the Fallopian tube (also known as serous tubal intraepithelial carcinoma [STIC]). STIC is a precursor of high-grade serous ovarian cancer. A referral to a gynecologic oncologist/comprehensive cancer center is recommended for management of occult STIC. It is not clear whether surgical staging and/or adjuvant chemotherapy is beneficial for women with STIC.Ovarian neoplasms consist of several histopathologic entities; treatment depends on the specific tumor type. Epithelial ovarian cancer comprises the majority of malignant ovarian neoplasms (about 90%); other less common pathologic subtypes may occur such as malignant germ cell and sex-cord stromal cell tumors. "
PAAD	Pancreatic Cancer	68010190	Pancreatic Neoplasms	"During the year 2018 in the United States, an estimated 55,440 people will be diagnosed with pancreatic cancer, and approximately 43,330 people will die of the disease. Pancreatic cancer is the fourth most common cause of cancer-related death among U.S. men (after lung, prostate, and colorectal cancer) and women (after lung, breast, and colorectal cancer).  Although incidence is roughly equal in both sexes, African Americans have a higher incidence of pancreatic cancer than white Americans. Furthermore, the incidence of pancreatic cancer in the United States increased from 1999 to 2008, possibly because of the increasing prevalence of obesity, an aging population, and other unknown factors. Mortality rates have remained largely unchanged."
PCPG	Pheochromocytoma & Paraganglioma	68010673;68010235	Pheochromocytoma;Paraganglioma	"Pheochromocytoma is a usually benign, well-encapsulated, lobular, vascular tumor of chromaffin tissue of the ADRENAL MEDULLA or sympathetic paraganglia. The cardinal symptom, reflecting the increased secretion of EPINEPHRINE and NOREPINEPHRINE, is HYPERTENSION, which may be persistent or intermittent. During severe attacks, there may be HEADACHE; SWEATING, palpitation, apprehension, TREMOR; PALLOR or FLUSHING of the face, NAUSEA and VOMITING, pain in the CHEST and ABDOMEN, and paresthesias of the extremities. The incidence of malignancy is as low as 5% but the pathologic distinction between benign and malignant pheochromocytomas is not clear.Pheochromocytoma is a usually benign, well-encapsulated, lobular, vascular tumor of chromaffin tissue of the ADRENAL MEDULLA or sympathetic paraganglia. The cardinal symptom, reflecting the increased secretion of EPINEPHRINE and NOREPINEPHRINE, is HYPERTENSION, which may be persistent or intermittent. During severe attacks, there may be HEADACHE; SWEATING, palpitation, apprehension, TREMOR; PALLOR or FLUSHING of the face, NAUSEA and VOMITING, pain in the CHEST and ABDOMEN, and paresthesias of the extremities. The incidence of malignancy is as low as 5% but the pathologic distinction between benign and malignant pheochromocytomas is not clear.

Paraganglioma is a neural crest tumor usually derived from the chromoreceptor tissue of a paraganglion, such as the carotid body, or medulla of the adrenal gland (usually called a chromaffinoma or pheochromocytoma). It is more common in women than in men.
"
PRAD	Prostate Cancer	68011471	Prostatic Neoplasms	"An estimated 164,690 new cases of prostate cancer will be diagnosed in 2018, accounting for 19% of new cancer cases in men. The age-adjusted death rates from prostate cancer have declined 52% from 1989 to 2015. Researchers have estimated that prostate cancer will account for 9% of male cancer deaths in 2018. Over the past several years, the incidence of prostate cancer has declined, likely in part as a result of decreased rates of prostate-specific antigen (PSA) screening. The decreasing and comparatively low death rate suggests that increased public awareness with earlier detection and treatment has affected mortality from this prevalent cancer.Early detection can lead to overtreatment of prostate cancers that do not threaten life expectancy, which results in unnecessary side effects that impair quality of life (QOL) and increase health care expenditures. The U.S. Preventive Services Task Force (USPSTF) recommended against PSA testing in 2012. The incidence of metastatic disease has increased. The rate of prostate cancer mortality, which had been in decline for 2 decades, has stabilized. Prostate cancer deaths may have increased this year for the first time in recent history, from an estimated 26,730 in 2017 to 29,430 in 2018. Increases in the incidence of metastases at presentation and prostate cancer deaths may be influenced by declines in the rates of prostate cancer early detection, biopsies, diagnosis of localized prostate cancers, and radical prostatectomy that followed the 2012 USPSTF recommendations. The USPSTF released updated draft recommendations in 2017 and is working on a final recommendation statement. The draft recommendations include individualized, informed decision-making regarding prostate cancer screening in men aged 55 to 69 years. These updated recommendations may allow for a more balanced approach to prostate cancer early detection. Better use of PSA for early detection of potentially fatal prostate cancer should decrease the risk of overdetection and overtreatment AND preserve the decrease in prostate cancer mortality. "
READ	Rectal Cancer	68012004	Rectal Neoplasms	"Colorectal cancer is the fourth most frequently diagnosed cancer and the second leading cause of cancer death in the United States. In 2018, an estimated 43,030 new cases of rectal cancer will occur in the United States (25,920 cases in men; 17,110 cases in women). During the same year, it is estimated that 50,630 people will die from rectal and colon cancer combined. Despite these statistics, the incidence per 100,000 population of colon and rectal cancers decreased from 60.5 in 1976 to 46.4 in 2005. In fact, the incidence of colorectal cancer decreased at a rate of approximately 2.9% per year or greater between 2005 and 2014. The incidence rate for colorectal cancer reported by the CDC for 2011 was 40.0 per 100,000 persons. In addition, mortality from colorectal cancer decreased by almost 35% from 1990 to 2007, and is currently down by about 50% from peak mortality rates. These improvements in incidence of and mortality from colorectal cancer are thought to be a result of cancer prevention and earlier diagnoses through screening and of better treatment modalities.Despite the observed improvements in the overall colorectal cancer incidence rate, a retrospective cohort study of the SEER CRC registry found that the incidence of colorectal cancer in patients younger than 50 years has been increasing. The authors estimate that the incidence rates for colon and rectal cancers will increase by 90.0% and 124.2%, respectively, for patients 20 to 34 years by 2030. The cause of this trend is currently unknown. Colorectal cancer that occurs in young adult patients is clinicopathologically and genetically different from colorectal cancer in older adults, suggesting a need to develop specific treatment strategies for this population."
